[2026-02-04 06:01:08,236][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,236][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,236][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,236][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,236][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,237][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,237][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,238][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,239][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,239][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,239][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,240][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,240][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,240][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,240][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,240][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,241][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,241][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,241][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,241][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,242][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,242][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,242][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,243][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,243][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,243][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,243][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,243][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,244][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,244][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,244][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,245][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,245][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,245][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,245][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,246][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,246][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,246][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,247][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,248][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,249][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,251][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,252][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,252][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,253][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,253][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,253][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,254][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,254][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,255][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,256][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,257][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,258][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,258][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,258][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,259][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,259][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,260][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,260][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,260][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,260][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,261][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,261][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,261][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,261][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,262][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,262][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,263][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,265][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,266][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,266][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,266][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,267][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,267][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,267][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,267][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,268][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,268][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,268][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,268][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,268][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,270][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,271][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,272][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,273][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,273][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,273][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,273][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,273][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,274][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,274][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,275][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,275][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,275][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,276][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,276][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,276][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,277][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,277][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,278][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,278][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,278][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,278][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,279][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,279][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,281][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,281][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,283][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,284][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,284][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,285][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,286][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,286][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,286][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,287][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,287][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,289][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,289][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,291][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,292][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,292][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,292][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,292][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,292][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,293][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,293][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,295][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,298][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,308][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,309][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,316][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,317][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,318][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,318][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,318][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,319][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,319][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,320][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,320][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,320][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,320][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,321][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,321][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,322][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,322][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,322][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,323][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,323][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,324][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,325][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,325][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,326][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,326][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,326][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,326][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,327][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,328][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,329][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,332][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,333][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,335][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,335][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,336][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
[2026-02-04 06:01:08,336][INFO][strategies][bar_streams.py:80] Timeout 1 requesting bar stream. Retrying...
